H,I,S,D,M,date,country
0,0,0,7,96,2021-06-06,Sweden
1,0,0,146,1097,2021-06-06,Japan
0,0,1,27,371,2021-06-07,Afghanistan
0,0,0,7,96,2021-06-07,Sweden
1,0,0,146,1097,2021-06-07,Japan
0,0,1,27,371,2021-06-08,Afghanistan
0,0,0,7,96,2021-06-08,Sweden
1,0,0,146,1097,2021-06-08,Japan
0,0,1,27,371,2021-06-09,Afghanistan
0,0,0,7,96,2021-06-09,Sweden
1,0,0,146,1097,2021-06-09,Japan
0,0,1,27,371,2021-06-10,Afghanistan
0,0,0,7,96,2021-06-10,Sweden
1,0,0,146,1097,2021-06-10,Japan
0,0,1,27,371,2021-06-11,Afghanistan
0,0,0,7,96,2021-06-11,Sweden
1,0,0,146,1097,2021-06-11,Japan
0,0,1,27,371,2021-06-12,Afghanistan
0,0,0,7,96,2021-06-12,Sweden
1,0,0,146,1097,2021-06-12,Japan
0,0,0,27,372,2021-06-13,Afghanistan
0,0,0,7,96,2021-06-13,Sweden
1,0,0,146,1097,2021-06-13,Japan
0,0,0,27,372,2021-06-14,Afghanistan
0,0,0,7,96,2021-06-14,Sweden
1,0,0,146,1097,2021-06-14,Japan
0,0,0,27,372,2021-06-15,Afghanistan
0,0,0,7,96,2021-06-15,Sweden
1,0,0,146,1097,2021-06-15,Japan
0,0,0,27,372,2021-06-16,Afghanistan
0,0,0,7,96,2021-06-16,Sweden
1,0,0,146,1097,2021-06-16,Japan
0,0,0,27,372,2021-06-17,Afghanistan
0,0,0,7,96,2021-06-17,Sweden
1,0,0,146,1097,2021-06-17,Japan
0,0,0,27,372,2021-06-18,Afghanistan
0,0,0,7,96,2021-06-18,Sweden
1,0,0,146,1097,2021-06-18,Japan
0,0,0,27,372,2021-06-19,Afghanistan
0,0,0,7,96,2021-06-19,Sweden
1,0,0,146,1097,2021-06-19,Japan
0,0,0,27,372,2021-06-20,Afghanistan
0,0,0,7,96,2021-06-20,Sweden
1,0,0,146,1097,2021-06-20,Japan
0,0,0,27,372,2021-06-21,Afghanistan
0,0,0,7,96,2021-06-21,Sweden
1,0,0,146,1097,2021-06-21,Japan
0,0,0,27,372,2021-06-22,Afghanistan
0,0,0,7,96,2021-06-22,Sweden
1,0,0,146,1097,2021-06-22,Japan
0,0,0,27,372,2021-06-23,Afghanistan
0,0,0,7,96,2021-06-23,Sweden
1,0,0,146,1097,2021-06-23,Japan
0,0,0,27,372,2021-06-24,Afghanistan
0,0,0,7,96,2021-06-24,Sweden
0,1,0,146,1097,2021-06-24,Japan
0,0,0,27,372,2021-06-25,Afghanistan
0,0,0,7,96,2021-06-25,Sweden
0,1,0,146,1097,2021-06-25,Japan
0,0,0,27,372,2021-06-26,Afghanistan
0,0,0,7,96,2021-06-26,Sweden
0,1,0,146,1097,2021-06-26,Japan
0,0,0,27,372,2021-06-27,Afghanistan
0,0,0,7,96,2021-06-27,Sweden
0,1,0,146,1097,2021-06-27,Japan
0,0,0,27,372,2021-06-28,Afghanistan
0,0,0,7,96,2021-06-28,Sweden
0,0,1,146,1097,2021-06-28,Japan
0,0,0,27,372,2021-06-29,Afghanistan
0,0,0,7,96,2021-06-29,Sweden
0,0,1,146,1097,2021-06-29,Japan
0,0,0,27,372,2021-06-30,Afghanistan
0,0,0,7,96,2021-06-30,Sweden
0,0,1,146,1097,2021-06-30,Japan
0,0,0,27,372,2021-07-01,Afghanistan
0,0,0,7,96,2021-07-01,Sweden
0,0,1,146,1097,2021-07-01,Japan
